nome,sigla,cnpj,categoria,associados,base_contagem,fonte_associados,data_fonte,tipo_fonte,entidade_paga,tipo_cobranca,evidencia_cobranca,observacoes
Confederação Nacional dos Trabalhadores Rurais Agricultores e Agricultoras Familiares,CONTAG,não encontrado,4,15000000,"trabalhadores rurais, agricultores e agricultoras familiares filiados a sindicatos filiados à Contag (não exclusivamente aposentados/pensionistas)","resumo de cobertura jornalística consolidada sobre a Contag (Agência Brasil e correlatas), 'mais de 15 milhões de membros'",não encontrado,imprensa,sim,mensalidade,"Contag afirma publicamente que os descontos associativos de seus filiados foram autorizados — Agência Brasil, 'Contag e Sindnapi negam irregularidade e apoiam apuração sobre fraudes' (25/04/2025)","ALERTA REPUTACIONAL: citada na Operação Sem Desconto (PF/CGU, 2025) no contexto de descontos associativos questionados, com nota pública de defesa. FORA DO ESCOPO ESTRITO DA CATEGORIA 4: é confederação sindical de trabalhadores rurais, não associação de aposentados/pensionistas, e não é associação 399-9 — incluída apenas para registro por alta relevância midiática nas investigações; recomenda-se exclusão do universo de aposentados/pensionistas na Fase 2."
Conselho Federal da Ordem dos Advogados do Brasil,OAB-CFOAB,33.205.451/0001-14,7-federal,1413330,"total nacional de inscritos (inclui 1.337.651 em exercício regular da profissão, dado 2023)","1º Estudo Demográfico da Advocacia Brasileira, FGV / OAB Nacional (conhecimento.fgv.br/sites/default/files/2025-01/publicacoes/perfil_adv_1o-estudo_demografico_da_advocacia_brasileira.pdf)",dado-base 2023; publicação jan/2025,documento oficial,"não se aplica ao Conselho Federal diretamente (autarquia federal, tipo 1104, sede em Brasília/DF); a cobrança de anuidade é feita pelas seccionais",,,"Linha de referência para a aba Metodologia (total nacional de advogados inscritos, conforme pedido no briefing), NÃO é uma das 27 seccionais e não compete no ranking por seccional. Além disso, em 22/10/2025 o Conselho Federal fixou piso mínimo de anuidade de R$ 1.050,00 para todos os Conselhos Seccionais a partir de 1º/1/2026 (fonte: Conjur, 'Conselho Federal da OAB estabelece piso para anuidade de seccionais', conjur.com.br/2025-out-22, e Provimento 232/2025, oab.org.br/leisnormas/legislacao/provimentos/232-2025)."
Associação dos Aposentados Mutualistas para Benefícios Coletivos,AMBEC,não encontrado,4,650000,"filiados (auto-declarado, dado obtido via Lei de Acesso à Informação)","Metrópoles, 'Entidades já somam R$ 1,5 bi em descontos do INSS no ano. Veja ranking' (metropoles.com/sao-paulo/entidades-descontos-inss-2024-ranking) — salto de 38 mil para 650 mil filiados entre 2023 e 2024",2024,imprensa,sim,mensalidade,"Cobra R$ 45,00 mensais descontados do benefício do INSS — Metrópoles, 'Ambec: conheça a entidade que cobra R$ 45 de aposentados sem permissão'; CNN Brasil noticiou salto de arrecadação de R$ 1,8 milhão/mês (jan/2023) para R$ 30 milhões/mês (fev/2024), alta de 1.500%","ALERTA REPUTACIONAL: alvo direto da Operação Sem Desconto (PF/CGU, 2025), com processos judiciais por descontos sem consentimento; documentos e testemunhos apontam uso de dados obtidos irregularmente para filiações não autorizadas. Fontes: Metrópoles e CNN Brasil (2024-2025). Natureza jurídica e CNPJ não confirmados nesta pesquisa."
"Sindicato Nacional dos Aposentados, Pensionistas e Idosos da Força Sindical",SINDNAPI,não encontrado,outra,300000,total de associados declarado pela própria entidade ('ultrapassa a marca de 300 mil associados'),"site institucional SINDNAPI, 'MAIOR DA AMÉRICA | Sindicato dos Aposentados ultrapassa a marca de 300 mil associados', https://www.sindicatodosaposentados.org.br/noticias/8817-maior-da-america-sindicato-dos-aposentados-ultrapassa-a-marca-de-300-mil-associados",não encontrado (data exata da matéria não confirmada),declarado pela entidade,sim,mensalidade,Contribuição sindical/associativa descontada de aposentadorias via INSS; é um dos alvos centrais da cobertura sobre descontos indevidos.,"ALERTA REPUTACIONAL INSS: citada pela PF em inquérito sobre descontos indevidos (CNN Brasil, https://www.cnnbrasil.com.br/politica/inss-sindicatos-citados-em-inquerito-tem-vaga-no-conselho-de-previdencia/). É SINDICATO, não associação — formalmente fora do critério do briefing ('sindicatos... não entram no Top 50'), mas é citado aqui por ser a maior entidade da categoria e por estar no centro do escândalo do INSS; decisão de incluir cabe ao orquestrador/XIPP."
PROTESTE - Associação Brasileira de Defesa do Consumidor,PROTESTE,,6,280000,não informado,https://www.proteste.org.br/institucional/quem-somos/a-organizacao ; https://pt.wikipedia.org/wiki/Proteste,2026-09-16,declarado pela entidade,sim,outra,"Fonte declara que a PROTESTE 'é mantida exclusivamente com o dinheiro que recebe de seus associados e da venda das suas publicações', ou seja, modelo de assinatura paga por associado. A periodicidade exata (mensal ou anual) não foi confirmada explicitamente nas páginas consultadas nesta busca.","Maior associação de consumidores da América Latina, segundo a própria entidade (fundada em 2001). CNPJ não localizado na busca. Base de contagem dos 280 mil associados (se inclui dependentes, se é só titulares) não especificada na fonte. Recomenda-se confirmação direta do valor e periodicidade da assinatura no site."
APVS Brasil - Associação de Proteção Veicular,APVS,13.866.295/0001-25,6,280000,não informado,https://www.brasilapvs.com/ ; https://blog.cooperlink.com.br/qual-e-a-maior-protecao-veicular-do-brasil/,2026-09-16,declarado pela entidade,sim,mensalidade,"Fontes indicam associação mediante pagamento de taxa de adesão e mensalidade, com valor variando conforme tipo de veículo e cobertura (valor exato não confirmado).","ALERTA REGULATÓRIO/REPUTACIONAL: associação de proteção veicular (mutualismo). Lei sancionada em jan/2025 trouxe regulamentação pelo SUSEP para o setor, indicando histórico de zona cinzenta regulatória. Autodeclarada 'maior associação de proteção veicular da América Latina'. Não confundir com seguradora; modelo mutualista de rateio de sinistros. CNPJ confirmado via busca."
Ordem dos Advogados do Brasil - Seção de Minas Gerais,OAB-MG,19.984.848/0001-20,7,140810,inscritos ativos,"OAB-MG, notícia 'Maioria dos inscritos na OAB Minas é formada pela jovem advocacia' (oabmg.org.br/Noticias/Detalhe/12493), citando dado do 1º Estudo Demográfico da Advocacia Brasileira (OAB Nacional/FGV), apresentado em reunião do Conselho Pleno da OAB-MG em setembro de 2024","dado-base dez/2023, divulgado/apresentado set/2024",documento oficial,sim,anuidade,"OAB-MG, 'Anuidade do exercício de 2025 já está disponível' (oabmg.org.br/Noticias/Detalhe/12559)",
Clube Curitibano,,76.493.626/0001-49,5,131000,não informado,https://www.auditorioibirapuera.com.br/quanto-custa-para-ser-socio-do-clube-curitibano/,sem data explícita; consulta em 2026-09-16,imprensa,sim,mensalidade,"Reportagem consultada via busca cita mensalidade de R$ 106,80, variável por idade e por categoria (civil/militar) e por atividades contratadas.","BAIXA CONFIANÇA no número de associados (131 mil): não foi possível reabrir a página-fonte para confirmar diretamente (acesso bloqueado no ambiente de pesquisa); o número parece elevado até para os maiores clubes do país e deve ser tratado como não verificado até checagem independente. Clube fundado em 1882, Curitiba (PR)."
Ordem dos Advogados do Brasil - Seção do Rio Grande do Sul,OAB-RS,,7,92268,inscritos ativos (advogados; os 4.836 estagiários são contabilizados à parte na mesma fonte),"OAB Nacional, notícia 'OAB Nacional parabeniza a seccional do Rio Grande do Sul pelos 93 anos de atuação' (oab.org.br/noticia/63044), citando dados do Cadastro Nacional da Advocacia",sem data explícita de apuração no corpo da notícia (matéria publicada por ocasião do aniversário de 93 anos da seccional),documento oficial,sim,anuidade,"OAB/RS, 'Anuidade OAB/RS 2025: Ordem gaúcha mantém valores reduzidos' (www2.oabrs.org.br/noticia/anuidade-oabrs-2025-ordem-gaucha-mantem-valores-reduzidos/64611)",CNPJ da seccional OAB-RS não encontrado dentro do orçamento de busca desta sessão.
Associação Brasileira de Odontologia,ABO,00.741.250/0001-82,3,90000,"titulares ativos (declarado pela entidade); a ABO também afirma representar os interesses de cerca de 200 mil cirurgiões-dentistas do Brasil, mas esse segundo número não é contagem de associados pagantes",https://www.abo.org.br/quem-somos,não encontrado,declarado pela entidade,a confirmar,,,"Estrutura federativa com 321 sedes/seções estaduais e regionais (ex.: ABO-SP, ABO-RJ), cada uma com CNPJ e cobrança de mensalidade/anuidade próprias. CNPJ encontrado (00.741.250/0001-82) está registrado com endereço em Sant'Ana do Livramento/RS segundo agregador consultado, o que é incomum para uma entidade 'nacional' - recomenda-se confirmar em fonte oficial (Receita Federal) antes de consolidar."
